
2026/02/19 (01:14:30) | DEBUG: Using locale C.UTF-8
2026/02/19 (01:14:30) | INFO: Running on /dev/pts/0
2026/02/19 (01:14:30) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2026/02/19 (01:14:52) | DEBUG: Writing new config file
2026/02/19 (01:14:52) | INFO: Quitting! Runtime: 00:00:22

2026/02/19 (01:14:53) | ===> btop++ v.1.2.3
2026/02/19 (01:14:53) | INFO: Logger set to DEBUG
2026/02/19 (01:14:53) | DEBUG: Using locale C.UTF-8
2026/02/19 (01:14:53) | INFO: Running on /dev/pts/0
2026/02/19 (01:14:54) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2026/02/19 (01:15:14) | INFO: Quitting! Runtime: 00:00:21

2026/02/19 (01:25:36) | ===> btop++ v.1.2.3
2026/02/19 (01:25:36) | INFO: Logger set to DEBUG
2026/02/19 (01:25:36) | DEBUG: Using locale C.UTF-8
2026/02/19 (01:25:36) | INFO: Running on /dev/pts/0
2026/02/19 (01:25:37) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2026/02/19 (01:25:47) | INFO: Quitting! Runtime: 00:00:11

2026/02/19 (01:57:52) | ===> btop++ v.1.2.3
2026/02/19 (01:57:52) | INFO: Logger set to DEBUG
2026/02/19 (01:57:52) | DEBUG: Using locale C.UTF-8
2026/02/19 (01:57:52) | INFO: Running on /dev/pts/0
2026/02/19 (01:57:53) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
